UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,PrivPub,UGDStudents,CostBeforeAid,6yrGradRate,Retention,MDEarnings8yr,InstructionWagesPerStudent,AcadmicSupportWagesPerStudent,ServicesAuxWagesPerStudent,PCTFacWhite,PCTFacNotWhite,PCTFacTwoMoreRace/Ethnic,PCTFacRace/EthnicUnk,PCTFacNRA,PCTFacMale,PCTFacFemale,InstrPerStu,PCTFTStaff,PCTFTTenured,PCTFTTenureTrk,PCTFTNotTenure,PCTProf,PCTAssoProf,PCTAssisProf,PCTInstructors,PCTLecturers,PCTNoRank
175980,241400,2414,Millsaps College,Jackson,MS,2,668,57996,0.6809,0.6995,49708,10571.92275,1580.005618,4175.525281,0.842105263,0.094736842,0,0.021052632,0.042105263,0.568421053,0.431578947,0.142215569,0.789473684,0.515789474,0.136842105,0.126315789,0.265957447,0.276595745,0.138297872,0.074468085,0,0.042553191
176017,244000,2440,University of Mississippi,University,MS,1,16083,25562,0.6668,0.8573,43237,10417.60036,1512.316884,2024.10355,0.724526601,0.194319206,0.013525699,0.006762849,0.060865645,0.526600541,0.473399459,0.137909594,0.842651037,0.286744815,0.124436429,0.431469793,0.210099188,0.224526601,0.277276826,0.105951307,0.024797115,0
176035,242200,2422,Mississippi University for Women,Columbus,MS,1,2094,20684,0.4583,0.7882,36718,3912.496302,1842.373521,955.4031065,0.882352941,0.104072398,0.009049774,0,0.004524887,0.285067873,0.714932127,0.105539637,0.647058824,0.239819005,0.20361991,0.20361991,0.185520362,0.095022624,0.185520362,0.180995475,0,0
176044,242400,2424,Mississippi Valley State University,Itta Bena,MS,1,1376,20315,0.2739,0.6226,26656,4097.450787,654.8656496,1898.859252,0.110344828,0.868965517,0,0.020689655,0,0.455172414,0.544827586,0.105377907,0.724137931,0.351724138,0.186206897,0.186206897,0.144827586,0.137931034,0.255172414,0.186206897,0,0
176053,241500,2415,Mississippi College,Clinton,MS,2,2515,34918,0.6534,0.7961,39373,4709.922434,293.1945575,1320.509106,0.776902887,0.104986877,0,0.112860892,0.005249344,0.456692913,0.543307087,0.151491054,0.524934383,0.267716535,0.107611549,0.149606299,0.165354331,0.139107612,0.133858268,0.086614173,0,0
176080,242300,2423,Mississippi State University,Mississippi State,MS,1,18724,25778,0.6419,0.8508,42264,4448.552858,956.1623162,1853.367398,0.753012048,0.182444062,0.010327022,0,0.054216867,0.569707401,0.430292599,0.077974792,0.834767642,0.319178082,0.186986301,0.345890411,0.155479452,0.173972603,0.180821918,0.112328767,0.041780822,0
176318,243300,2433,Rust College,Holly Springs,MS,2,623,16700,0.197,0.5606,27138,4350.313002,935.9791332,2425.756019,0.063829787,0.936170213,0,0,0,0.404255319,0.595744681,0.075441413,0.936170213,0,0,0.936170213,0.106382979,0.127659574,0.255319149,0.14893617,0,0.29787234
176372,244100,2441,University of Southern Mississippi,Hattiesburg,MS,1,11348,24047,0.4975,0.7474,37079,4171.228331,823.6867726,1472.563536,0.824937028,0.166246851,0.003778338,0,0.005037783,0.487405542,0.512594458,0.074638703,0.792191436,0.376623377,0.160566706,0.265643447,0.22303207,0.278425656,0.2696793,0.113702624,0.032069971,0
176406,243900,2439,Tougaloo College,Tougaloo,MS,2,654,22784,0.4048,0.704,30834,3590.129032,1626.571613,4444.654194,0.148148148,0.851851852,0,0,0,0.444444444,0.555555556,0.123853211,0.740740741,0.395061728,0.172839506,0.172839506,0.12345679,0.271604938,0.222222222,0.12345679,0,0
176479,244700,2447,William Carey University,Hattiesburg,MS,2,2101,23334,0.5336,0.8389,36719,4237.418494,69.19206871,632.9217836,0.752834467,0.120181406,0.006802721,0.120181406,0,0.437641723,0.562358277,0.211327939,0.473922902,0.02027027,0.45045045,0,0.056689342,0.133786848,0.233560091,0.049886621,0,0
